股票代码,股票名称,试盘模式,试盘日,突破日,入场价,出场日,出场价,持有天数,收益率,出场原因
300469,信息发展,长上影线试盘,20241015,20241017,24.48,20241024,24.82,5,1.39%,max_days
300735,光弘科技,长上影线试盘,20241015,20241017,36.09,20241024,33.23,5,-7.93%,stop_loss
300781,因赛集团,长上影线试盘,20241015,20241017,39.36,20241030,57.25,5,45.45%,max_days
300322,硕贝德,长上影线试盘,20241015,20241018,13.91,20241025,16.20,5,16.46%,max_days
301293,三博脑科,长上影线试盘,20241015,20241016,41.87,20241023,43.99,5,5.06%,max_days
600877,电科芯片,长上影线试盘,20241015,20241021,15.82,20241028,15.50,5,-2.02%,max_days
300002,神州泰岳,长上影线试盘,20241015,20241017,12.51,20241024,12.96,5,3.60%,max_days
600571,信雅达,长上影线试盘,20241015,20241021,12.60,20241028,12.73,5,1.03%,max_days
002079,苏州固锝,长上影线试盘,20241015,20241018,10.97,20241025,12.18,5,11.03%,max_days
688361,中科飞测,长上影线试盘,20241015,20241018,72.81,20241022,67.04,2,-7.93%,stop_loss
300133,华策影视,长上影线试盘,20241015,20241017,6.43,20241024,7.16,5,11.35%,max_days
300576,容大感光,长上影线试盘,20241015,20241016,40.41,20241023,41.47,5,2.62%,max_days
300657,弘信电子,长上影线试盘,20241015,20241018,18.28,20241025,17.56,5,-3.94%,max_days
300136,信维通信,长上影线试盘,20241015,20241018,24.39,20241025,23.86,5,-2.17%,max_days
300346,南大光电,长上影线试盘,20241015,20241016,33.14,20241023,34.04,5,2.72%,max_days
300567,精测电子,长上影线试盘,20241015,20241018,64.78,20241025,59.64,5,-7.93%,stop_loss
300634,彩讯股份,长上影线试盘,20241015,20241021,20.18,20241028,23.25,5,15.21%,max_days
300602,飞荣达,长上影线试盘,20241015,20241017,19.37,20241024,20.14,5,3.98%,max_days
002065,东华软件,长上影线试盘,20241015,20241018,5.94,20241025,5.90,5,-0.67%,max_days
300027,华谊兄弟,长上影线试盘,20241015,20241018,2.68,20241025,2.84,5,5.97%,max_days
000034,神州数码,长上影线试盘,20241015,20241018,32.37,20241025,32.13,5,-0.74%,max_days
300315,掌趣科技,长上影线试盘,20241015,20241017,5.28,20241024,5.38,5,1.89%,max_days
300031,宝通科技,长上影线试盘,20241015,20241017,18.20,20241024,19.30,5,6.04%,max_days
002681,奋达科技,长上影线试盘,20241015,20241017,4.49,20241024,4.52,5,0.67%,max_days
603220,中贝通信,长上影线试盘,20241015,20241018,23.18,20241025,23.36,5,0.78%,max_days
002093,国脉科技,长上影线试盘,20241016,20241023,8.43,20241025,7.76,2,-7.93%,stop_loss
300602,飞荣达,长上影线试盘,20241017,20241021,21.91,20241022,20.17,1,-7.93%,stop_loss
300779,惠城环保,长上影线试盘,20241017,20241018,70.90,20241025,87.54,5,23.47%,max_days
301153,中科江南,长上影线试盘,20241017,20241018,35.37,20241023,32.57,3,-7.93%,stop_loss
000977,浪潮信息,长上影线试盘,20241017,20241018,43.24,20241025,43.04,5,-0.46%,max_days
002134,天津普林,长上影线试盘,20241021,20241022,15.66,20241029,17.75,5,13.35%,max_days
002655,共达电声,长上影线试盘,20241021,20241024,14.49,20241031,14.48,5,-0.07%,max_days
000750,国海证券,长上影线试盘,20241023,20241024,5.09,20241029,4.69,3,-7.93%,stop_loss
601099,太平洋,长上影线试盘,20241023,20241025,4.54,20241101,4.32,5,-4.85%,max_days
300601,康泰生物,长上影线试盘,20241024,20241028,20.56,20241029,18.93,1,-7.93%,stop_loss
002716,湖南白银,长上影线试盘,20241025,20241029,3.69,20241105,3.66,5,-0.81%,max_days
300861,美畅股份,长上影线试盘,20241029,20241105,19.64,20241107,18.08,2,-7.93%,stop_loss
300188,国投智能,长上影线试盘,20241029,20241031,16.51,20241101,15.20,1,-7.93%,stop_loss
603960,克来机电,长上影线试盘,20241029,20241030,22.45,20241106,23.33,5,3.92%,max_days
600604,市北高新,长上影线试盘,20241029,20241031,5.35,20241107,5.43,5,1.50%,max_days
600239,云南城投,长上影线试盘,20241029,20241031,3.05,20241107,3.94,5,29.18%,max_days
000415,渤海租赁,长上影线试盘,20241029,20241031,3.33,20241107,4.38,5,31.53%,max_days
300352,北信源,长上影线试盘,20241029,20241031,6.33,20241101,5.83,1,-7.93%,stop_loss
603160,汇顶科技,长上影线试盘,20241029,20241030,90.74,20241101,83.54,2,-7.93%,stop_loss
300100,双林股份,长上影线试盘,20241029,20241106,15.55,20241113,16.25,5,4.50%,max_days
002600,领益智造,长上影线试盘,20241029,20241031,8.98,20241101,8.27,1,-7.93%,stop_loss
601777,千里科技,长上影线试盘,20241030,20241106,8.14,20241113,7.49,5,-7.93%,stop_loss
300972,万辰集团,长上影线试盘,20241030,20241107,74.80,20241114,68.87,5,-7.93%,stop_loss
002611,东方精工,长上影线试盘,20241030,20241031,7.20,20241101,6.63,1,-7.93%,stop_loss
002185,华天科技,长上影线试盘,20241030,20241031,13.67,20241101,12.59,1,-7.93%,stop_loss
000721,西安饮食,长上影线试盘,20241030,20241101,9.08,20241108,10.67,5,17.51%,max_days
002612,朗姿股份,长上影线试盘,20241031,20241107,18.30,20241114,17.19,5,-6.07%,max_days
600654,中安科,长上影线试盘,20241031,20241107,3.03,20241114,4.28,5,41.25%,max_days
000551,创元科技,长上影线试盘,20241031,20241101,10.78,20241108,11.13,5,3.25%,max_days
